0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	7	0	0	0	0	0	0	4
0	0	0	3	2	6	2	1	0	0	3	2
3	3	2	6	4	1	1	1	0	0	2	2
5	1	0	1	1	4	4	0	6	0	4	1
3	2	1	3	3	4	0	5	5	0	0	0
0	1	1	6	8	0	3	1	1	2	1	2
1	3	0	1	8	0	3	0	2	1	3	0
1	1	0	3	11	0	1	2	2	0	0	1
2	1	0	0	13	0	4	0	4	0	0	3
5	1	2	1	18	0	1	3	4	0	0	0
0	0	1	3	19	1	4	5	0	2	2	2
0	0	1	2	22	0	5	0	3	1	3	2
0	2	1	3	18	4	6	0	0	2	1	3
6	1	0	3	14	11	4	0	0	0	1	2
8	0	1	2	10	17	6	0	2	3	2	1
6	2	0	3	10	17	1	5	6	0	3	5
7	2	4	3	9	13	2	0	2	1	5	5
9	2	1	4	7	17	5	0	0	0	3	1
9	1	0	7	8	20	7	0	0	0	0	0
16	1	5	13	10	12	3	2	0	0	3	1
17	3	4	7	8	7	4	0	5	2	8	3
7	3	0	5	12	6	6	8	3	2	11	3
1	6	2	7	14	0	13	3	0	1	4	4
0	3	0	2	17	0	17	0	3	1	4	5
6	0	0	4	17	0	11	1	3	0	0	6
0	1	1	6	18	0	13	5	0	1	3	2
10	1	0	0	12	6	9	0	5	0	3	2
1	0	0	2	15	5	12	6	0	3	5	2
11	0	0	2	9	11	3	0	2	0	6	1
14	1	4	2	4	8	0	1	4	0	10	4
14	6	2	5	4	3	0	1	4	0	4	8
3	2	2	11	6	4	3	9	4	0	4	7
3	2	1	16	7	0	4	0	4	0	1	10
3	2	2	8	9	1	0	4	12	0	7	5
0	0	3	0	12	1	3	2	19	0	11	1
0	1	0	2	13	0	7	1	14	5	11	2
8	0	1	5	7	6	1	1	14	0	11	4
9	6	3	8	3	5	2	0	6	7	4	6
8	2	1	4	2	1	2	1	6	4	7	12
11	1	2	2	1	1	3	0	8	0	7	13
4	3	0	5	1	0	3	8	8	0	0	15
1	1	2	2	2	1	1	4	12	0	6	12
2	4	1	4	2	3	3	1	12	0	4	9
0	3	0	5	6	0	7	0	5	5	0	9
8	1	0	4	2	3	1	2	9	0	1	13
9	1	2	1	1	3	1	3	12	0	4	10
11	1	0	3	2	1	3	0	12	0	2	13
2	1	1	4	3	1	6	8	5	6	6	9
0	4	0	8	6	0	8	0	0	2	0	10
0	0	1	9	2	3	13	1	0	0	1	14
8	3	2	14	5	3	5	3	0	0	5	9
13	3	3	17	5	7	0	1	0	0	5	7
13	3	1	19	3	9	4	1	0	0	3	4
3	2	0	21	6	9	6	8	0	0	2	2
3	1	4	21	1	4	7	0	0	0	4	6
0	2	2	21	4	0	11	0	0	0	1	9
0	0	0	21	3	3	11	0	0	0	1	11
10	3	1	21	3	4	4	2	0	0	3	9
3	3	3	21	4	5	2	9	0	0	4	5
1	1	0	12	8	0	3	1	6	2	5	7
0	2	1	10	1	7	4	0	5	5	10	2
0	7	1	16	3	8	5	1	0	4	1	2
5	2	2	18	5	0	1	1	0	0	3	2
3	2	0	21	2	3	3	0	0	0	1	4
7	2	1	22	0	2	4	0	0	0	0	5
12	1	1	14	5	0	2	0	6	0	1	9
13	3	2	9	5	6	8	2	8	7	6	7
9	3	3	2	10	0	1	6	15	0	8	7
1	1	0	2	13	0	1	5	8	4	8	9
1	0	1	4	8	6	6	0	6	4	12	4
2	8	2	7	9	7	7	1	1	2	6	4
0	2	1	12	10	0	8	1	0	0	2	8
0	1	0	13	2	6	10	1	0	0	1	11
1	1	2	4	0	2	14	0	7	3	3	15
1	1	0	4	4	0	16	0	2	3	1	16
11	1	2	1	5	6	10	1	5	0	7	13
21	5	4	3	4	4	1	1	5	0	1	17
22	0	4	2	2	4	3	0	3	3	3	20
14	1	2	4	5	0	2	7	3	0	1	22
4	2	1	0	8	0	1	6	7	0	6	16
6	0	2	5	7	8	3	2	6	0	14	10
6	6	3	9	3	5	5	0	1	3	5	16
11	1	2	12	1	2	2	1	1	0	2	20
